Generation: 0
ID, rc_coeff, likelihood, Fitness, Rank
17, 2.902623e-01, 5.732583e+01, 1.250000e-01, 8
18, 2.431775e-01, 4.407065e+01, 1.428571e-01, 7
19, 7.272846e-01, 1.810840e+02, 4.347826e-02, 23
20, 2.142015e+00, 5.127898e+02, 3.333333e-02, 30
21, 8.399316e-01, 2.115446e+02, 4.000000e-02, 25
22, 9.314863e+00, 1.436119e+03, 2.500000e-02, 40
23, 3.411708e-01, 7.186398e+01, 6.666667e-02, 15
24, 4.047020e-01, 9.012598e+01, 5.000000e-02, 20
25, 9.966317e-02, 7.895230e+00, 1.000000e+00, 1
26, 3.295883e+00, 7.239284e+02, 3.125000e-02, 32
27, 7.024095e+00, 1.215563e+03, 2.941176e-02, 34
28, 3.514795e-01, 7.482266e+01, 5.882353e-02, 17
29, 1.846206e+00, 4.518708e+02, 3.448276e-02, 29
30, 3.039457e-01, 6.122049e+01, 1.111111e-01, 9
31, 3.083542e-01, 6.247793e+01, 1.000000e-01, 10
32, 1.053853e+00, 2.672839e+02, 3.846154e-02, 26
33, 8.379551e+00, 1.350470e+03, 2.631579e-02, 38
34, 3.216532e-01, 6.627980e+01, 9.090909e-02, 11
35, 3.239933e-01, 6.694954e+01, 8.333333e-02, 12
36, 7.224734e+00, 1.237642e+03, 2.777778e-02, 36
37, 1.506532e-01, 1.944608e+01, 3.333333e-01, 3
38, 7.194185e+00, 1.234369e+03, 2.857143e-02, 35
39, 8.064379e-01, 2.025667e+02, 4.166667e-02, 24
Generation: 3
ID, rc_coeff, likelihood, Fitness, Rank
0, 9.966317e-02, 7.895230e+00, 1.250000e-01, 8
1, 1.039653e-01, 8.763003e+00, 1.000000e-01, 10
2, 1.440708e-01, 1.783195e+01, 7.692308e-02, 13
3, 3.881460e-01, 8.536153e+01, 3.448276e-02, 29
4, 1.435948e-01, 1.771631e+01, 9.090909e-02, 11
5, 1.437865e-01, 1.776294e+01, 8.333333e-02, 12
6, 1.017442e-01, 8.311865e+00, 1.111111e-01, 9
7, 9.712305e-02, 7.395602e+00, 1.428571e-01, 7
8, 3.120478e-01, 6.353367e+01, 4.000000e-02, 25
9, 3.240542e-01, 6.696700e+01, 3.846154e-02, 26
10, 9.571395e-02, 7.122714e+00, 1.666667e-01, 6
11, 1.042900e+00, 2.644972e+02, 3.125000e-02, 32
12, 1.953851e-01, 3.100207e+01, 5.555556e-02, 18
13, 2.299913e+00, 5.440715e+02, 2.857143e-02, 35
14, 3.714249e-01, 8.055346e+01, 3.571429e-02, 28
15, 1.741935e-01, 2.541985e+01, 6.250000e-02, 16
16, 1.889250e-01, 2.928321e+01, 5.882353e-02, 17
17, 3.192735e+00, 7.059336e+02, 2.777778e-02, 36
18, 3.997137e-01, 8.869162e+01, 3.333333e-02, 30
19, 7.020007e-02, 2.836614e+00, 2.500000e-01, 4
20, 2.544630e-01, 4.722172e+01, 4.166667e-02, 24
21, 1.675623e-01, 2.370975e+01, 7.142857e-02, 14
22, 2.308910e-01, 4.066294e+01, 4.347826e-02, 23
23, 2.021153e-01, 3.280685e+01, 4.761905e-02, 21
24, 3.270304e-02, 5.279484e-01, 3.333333e-01, 3
25, 3.797905e+00, 8.015989e+02, 2.702703e-02, 37
26, 1.722271e-01, 2.491061e+01, 6.666667e-02, 15
27, 6.793406e+00, 1.190461e+03, 2.631579e-02, 38
28, 2.049608e-01, 3.357407e+01, 4.545455e-02, 22
29, 3.595998e-02, 4.107914e-01, 5.000000e-01, 2
30, 8.431596e-02, 5.040012e+00, 2.000000e-01, 5
31, 7.302939e-01, 1.819075e+02, 3.225806e-02, 31
32, 3.418212e-01, 7.205046e+01, 3.703704e-02, 27
33, 1.635490e+00, 4.057945e+02, 2.941176e-02, 34
34, 1.965934e-01, 3.132500e+01, 5.263158e-02, 19
35, 3.603855e-02, 4.090055e-01, 1.000000e+00, 1
36, 6.934992e+00, 1.205823e+03, 2.564103e-02, 39
37, 1.968028e-01, 3.138119e+01, 5.000000e-02, 20
38, 1.162683e+00, 2.946003e+02, 3.030303e-02, 33
39, 8.197140e+00, 1.332605e+03, 2.500000e-02, 40
Generation: 4
ID, rc_coeff, likelihood, Fitness, Rank
0, 3.603855e-02, 4.090055e-01, 1.428571e-01, 7
1, 3.570051e-02, 4.170393e-01, 1.250000e-01, 8
2, 1.959894e-01, 3.116348e+01, 3.703704e-02, 27
3, 2.406500e-01, 4.336641e+01, 3.225806e-02, 31
4, 3.567979e-01, 7.634997e+01, 3.125000e-02, 32
5, 3.912494e-01, 8.625391e+01, 3.030303e-02, 33
6, 2.057566e-01, 3.378906e+01, 3.448276e-02, 29
7, 8.940414e-02, 5.940824e+00, 5.882353e-02, 17
8, 6.706330e-02, 2.417217e+00, 7.142857e-02, 14
9, 1.030142e-01, 8.569001e+00, 4.761905e-02, 21
10, 1.123670e+00, 2.848874e+02, 2.702703e-02, 37
11, 2.229148e+00, 5.301977e+02, 2.564103e-02, 39
12, 3.164591e-02, 5.849705e-01, 8.333333e-02, 12
13, 3.756831e-02, 3.834070e-01, 5.000000e-01, 2
14, 3.616754e-02, 4.061727e-01, 1.666667e-01, 6
15, 3.501163e-02, 4.361392e-01, 1.111111e-01, 9
16, 5.055648e-02, 7.712803e-01, 7.692308e-02, 13
17, 6.706560e+00, 1.181050e+03, 2.500000e-02, 40
18, 4.196341e-03, 7.127734e+00, 5.555556e-02, 18
19, 2.380962e-01, 4.265722e+01, 3.333333e-02, 30
20, 1.016534e-01, 8.293527e+00, 5.000000e-02, 20
21, 7.553192e-02, 3.612166e+00, 6.250000e-02, 16
22, 4.603872e-02, 5.261271e-01, 1.000000e-01, 10
23, 1.932275e-01, 3.042635e+01, 4.000000e-02, 25
24, 1.950327e-01, 3.090806e+01, 3.846154e-02, 26
25, 1.034848e+00, 2.624440e+02, 2.777778e-02, 36
26, 1.799994e-01, 2.693217e+01, 4.166667e-02, 24
27, 9.850090e-02, 7.665414e+00, 5.263158e-02, 19
28, 3.256518e-02, 5.348310e-01, 9.090909e-02, 11
29, 8.980530e-01, 2.269621e+02, 2.857143e-02, 35
30, 5.155289e-01, 1.218786e+02, 2.941176e-02, 34
31, 3.901958e-02, 3.747685e-01, 1.000000e+00, 1
32, 1.791308e-01, 2.670517e+01, 4.347826e-02, 23
33, 1.725188e-01, 2.498610e+01, 4.545455e-02, 22
34, 1.727659e+00, 4.261919e+02, 2.631579e-02, 38
35, 3.651714e-02, 3.991279e-01, 2.500000e-01, 4
36, 3.670140e-02, 3.957831e-01, 3.333333e-01, 3
37, 3.639613e-02, 4.014620e-01, 2.000000e-01, 5
38, 7.170860e-02, 3.048335e+00, 6.666667e-02, 15
39, 2.047786e-01, 3.352494e+01, 3.571429e-02, 28
Generation: 5
ID, rc_coeff, likelihood, Fitness, Rank
0, 3.901958e-02, 3.747685e-01, 5.000000e-01, 2
1, 3.852104e-02, 3.760668e-01, 2.500000e-01, 4
2, 3.863158e-02, 3.756244e-01, 3.333333e-01, 3
3, 3.351421e+00, 7.328085e+02, 2.631579e-02, 38
4, 2.254290e-01, 3.915478e+01, 3.030303e-02, 33
5, 4.529927e-02, 4.963050e-01, 6.666667e-02, 15
6, 1.024037e-01, 8.445215e+00, 3.448276e-02, 29
7, 3.103883e-03, 7.693485e+00, 3.846154e-02, 26
8, 3.838674e-02, 3.767110e-01, 1.666667e-01, 6
9, 4.060779e-02, 3.819260e-01, 1.428571e-01, 7
10, 3.702021e-02, 3.905850e-01, 1.000000e-01, 10
11, 3.511518e-02, 4.330216e-01, 8.333333e-02, 12
12, 4.373112e-02, 4.433362e-01, 7.142857e-02, 14
13, 3.039117e-02, 6.655784e-01, 4.761905e-02, 21
14, 9.944447e-02, 7.851834e+00, 3.703704e-02, 27
15, 4.876327e-02, 6.614756e-01, 5.000000e-02, 20
16, 6.837415e+00, 1.195339e+03, 2.500000e-02, 40
17, 8.207737e-02, 4.659976e+00, 4.166667e-02, 24
18, 3.065637e-02, 6.473392e-01, 5.263158e-02, 19
19, 4.747208e-02, 5.924499e-01, 5.882353e-02, 17
20, 1.119495e+00, 2.838439e+02, 2.857143e-02, 35
